"","ArrivalcData.fcst","ArrivalcData.lower","ArrivalcData.upper","ArrivalcData.CI","V5"
"177",7891.01706694702,2818.66511780948,12963.3690160846,5072.35194913754,5653.76327046
"178",7881.06894789887,2795.99242158331,12966.1454742144,5085.07652631556,5118.4748344
"179",7865.84076347916,2768.06543322064,12963.6160937377,5097.77533025852,5146.74485648
"180",7837.41343318434,2727.20395303027,12947.6229133384,5110.20948015406,4786.83220895
"181",7826.24874470418,2703.96447874248,12948.5330106659,5122.2842659617,4803.89458109
"182",7827.12158009247,2692.83536292287,12961.4077972621,5134.2862171696,5043.21530361
"183",7808.77571344545,2662.40948672929,12955.1419401616,5146.36622671616,5570.45326313
"184",7784.05545481162,2625.6619274079,12942.4489822153,5158.39352740371,6495.00616138
"185",7774.18303840796,2603.82876653999,12944.5373102759,5170.35427186798,6029.84533986
"186",7759.13041370931,2576.85823715556,12941.402590263,5182.27217655374,6344.43929455
"187",7732.70333779583,2538.76702570822,12926.6396498834,5193.93631208761,5997.07405527
"188",7722.29331218276,2517.02732029236,12927.5593040732,5205.26599189041,6808.38418124
"189",7722.48135783187,2505.96964287641,12938.9930727873,5216.51171495546,7246.03962374
"190",7705.42152830524,2477.61651539942,12933.2265412111,5227.80501290582,7645.72767391
"191",7683.01831300397,2443.98056481224,12922.0560611957,5239.03774819173,7818.09731739
"192",7673.60836821352,2423.40345170471,12923.8132847223,5250.20491650881,7402.41767507
"193",7658.97307388401,2397.648348646,12920.297799122,5261.32472523801,7554.37531839
"194",7634.33761309092,2362.12878183254,12906.5464443493,5272.20883125837,7734.85860927
"195",7624.33690516124,2341.54912469108,12907.1246856314,5282.78778047015,7674.79746137
"196",7623.64077915445,2330.36106623021,12916.9204920787,5293.27971292424,7569.18446652
"197",7607.61908486206,2303.8208376993,12911.4173320248,5303.79824716275,7568.81320432
"198",7587.26589021128,2273.01106267998,12901.5207177426,5314.2548275313,7734.66477708
"199",7578.40716422113,2253.75604995085,12903.0582784914,5324.65111427029,7029.21614013
"200",7564.49598894928,2229.49610319415,12899.4958747044,5334.99988575513,7220.01398811
"201",7541.8290146711,2196.69525192193,12886.9627774203,5345.13376274917,7483.86545637
"202",7532.43155551587,2177.43900830469,12887.4241027271,5354.99254721118,7495.24339552
"203",7531.07406944204,2166.31008360676,12895.8380552773,5364.76398583528,7313.07760945
"204",7515.96179863265,2141.41746135011,12890.5061359152,5374.54433728254,7337.41392819
"205",7497.27438404071,2113.01477231767,12881.5339957637,5384.25961172304,7313.39873776
"206",7488.76316464648,2094.84874372099,12882.677585572,5393.91442092549,6702.03890606
"207",7475.47532951506,2071.95823092424,12878.9924281059,5403.51709859082,6431.48705192
"208",7454.63944505898,2041.71961484942,12867.5592752685,5412.91983020955,6325.68877833
"209",7445.95680315446,2023.88580488697,12868.027801422,5422.07099826749,6330.78360789
"210",7444.2840652082,2013.1507509977,12875.4173794187,5431.1333142105,6694.99912684
"211",7430.2712299943,1990.08130760379,12870.4611523848,5440.18992239051,7027.95924326
"212",7413.28568642166,1964.10621219572,12862.4651606476,5449.17947422594,6879.53801082
"213",7405.19701829734,1947.08822760516,12863.3058089895,5458.10879069217,6343.22627605
"214",7392.48089033838,1925.49756861785,12859.4642120589,5466.98332172053,6352.82277257
"215",7373.21432115409,1897.54177848653,12848.8868638216,5475.67254266755,6675.8464029
"216",7365.0811551751,1880.94898806469,12849.2133222855,5484.13216711041,6674.64021584
"217",7363.09456429914,1870.5908584504,12855.5982701479,5492.50370584874,6959.51485373
"218",7350.12403195472,1849.26447787149,12850.9835860379,5500.85955408323,7392.8195399
"219",7334.78031809914,1825.63038832533,12843.9302478729,5509.14992977381,7770.69693458
"220",7327.24554229725,1809.86116287548,12844.629921719,5517.38437942178,7138.2573433
"221",7315.25213054946,1789.68579674597,12840.818464353,5525.56633380349,6778.74303086
"222",7297.52822155262,1763.94806638286,12831.1083767224,5533.58015516976,6845.81729341
"223",7289.90538766131,1748.51800480311,12831.2927705195,5541.3873828582,7089.10832096
"224",7287.60525378863,1738.49495083832,12836.7155567389,5549.11030295031,7183.5472115
"225",7275.5110541489,1718.70003345854,12832.3220748393,5556.81102069036,7169.4475833
"226",7261.54438713687,1697.09559759484,12825.9931766789,5564.44878954203,7428.52123886
"227",7254.4625434026,1682.42809002941,12826.4969967758,5572.03445337319,6691.25174034
"228",7243.18169213048,1663.61221719209,12822.7511670689,5579.56947493839,6074.56484163
"229",7226.94744410184,1639.9955948058,12813.8992933979,5586.95184929604,6339.86286275
"230",7219.89627309456,1625.74780865921,12814.0447375299,5594.14846443535,6528.66781438
"231",7217.44765708404,1616.18293577885,12818.7123783892,5601.26472130518,6836.32543913
"232",7206.23280810736,1597.87909400746,12814.5865222072,5608.35371409989,6647.97538058
"233",7193.50985874281,1578.12782905884,12808.8918884268,5615.38202968397,6711.84532984
"234",7186.81102546339,1564.45018101674,12809.1718699101,5622.36084444666,6320.13261919
"235",7176.14867508723,1546.85867728603,12805.4386728884,5629.28999780119,6009.39493663
"236",7161.21567804324,1525.13601217473,12797.2953439118,5636.07966586851,6080.48894508
"237",7154.65782444141,1511.95634292825,12797.3593059546,5642.70148151317,5604.69041907
"238",7152.11634724817,1502.86967724221,12801.3630172541,5649.24667000596,5593.94502986
"239",7141.77038290592,1486.00913030858,12797.5316355033,5655.76125259734,5934.85902588
"240",7130.24598969709,1468.02760352373,12792.4643758704,5662.21838617336,6062.8644891
"241",7123.97297763731,1455.34334621184,12792.6026090628,5668.62963142547,5854.16255722
"242",7113.93238011882,1438.93849847109,12788.9262617666,5674.99388164773,5759.19421625
"243",7100.18000792396,1418.94801531214,12781.4120005358,5681.23199261182,6192.82165409
"244",7094.03016932016,1406.71072557363,12781.3496130667,5687.31944374653,6146.59210021
"245",7091.36371877833,1398.02868786906,12784.6987496876,5693.33503090927,6308.29982018
"246",7081.76121782959,1382.44272568129,12781.0797099779,5699.31849214829,6575.97984416
"247",7071.2831705854,1366.03476219552,12776.5315789753,5705.24840838988,6687.28919827
"248",7065.40536510307,1354.2687697192,12776.5419604869,5711.13659538387,6625.78397183
"249",7055.98549486827,1339.0041769381,12772.9668127984,5716.98131793017,6550.03944226
"250",7043.35257175091,1320.63971861629,12766.0654248855,5722.71285313462,6912.43418329
"251",7037.60419631451,1309.29424033972,12765.9141522893,5728.30995597479,6440.32295885
"252",7034.85324290999,1301.01278513864,12768.6937006813,5733.84045777135,5905.74656434
"253",7025.91947878647,1286.58111274342,12765.2578448295,5739.33836604305,5909.47368909
"254",7016.3387355164,1271.55225810093,12761.1252129319,5744.78647741547,5644.81053055
"255",7010.77537684533,1260.57907331582,12760.9716803748,5750.19630352951,5297.38245981
"256",7001.902062901,1246.33657830831,12757.4675474937,5755.56548459268,5442.51813183
"257",6990.2689753307,1229.43625075848,12751.1016999029,5760.83272457221,6069.28904759
"258",6984.88699365121,1218.90722567474,12750.8667616277,5765.97976797648,6242.85050791
"259",6982.09889707383,1211.03385072426,12753.1639434234,5771.06504634957,6181.12377352
"260",6973.80795925835,1197.69017645739,12749.9257420593,5776.11778280096,6538.81393705
"261",6965.05044414442,1183.92605168187,12746.174836607,5781.12439246255,6495.21207878
